SAMPLE,mean depth across whole genome
GSM2706237,1.50674046273068
GSM2706238,1.24350900474486
GSM2706241,1.32136098078291
GSM2706244,1.01546850713073
GSM2706245,0.954032251904209
GSM2706260,0.97979076362508
GSM2706261,1.03113530649817
GSM2706262,0.915519144046675
GSM2706263,0.369991712326979
GSM2706264,1.36792743262729
GSM2706265,0.919430701358251
GSM2706266,1.11238657273862
GSM2706267,1.0052266409693
GSM2706233,0.980946712597115
GSM2706234,1.02085248177943
GSM2706235,0.837951506887637
GSM2706236,1.01917525923263
GSM2706239,0.995481274806318
GSM2706240,0.687264631846512
GSM2706242,0.345981425180153
GSM2706243,0.511520680093111
GSM3081010,0.550690225182416
GSM3081011,0.432742259595713
GSM1985628,0.409916315921743
GSM1985629,0.387518902139319
GSM1985630,0.285448959087406
GSM1985631,0.522295174113928
GSM2151860,0.0928079781088473
GSM2151861,0.109040163536755
GSM2151862,0.130063422426558
GSM1833279,0.325664191507229
GSM1833280,0.345313648782873
GSM1833281,0.402502049509153
GSM1833282,0.534320146141242
GSM1833283,0.391790734318299
GSM1833284,0.396331674029563
GSM1833285,0.707608146796007
GSM1833286,0.74884226814764
GSM1833287,0.767397895481146
GSM1833288,0.352714949714508
GSM1833289,0.223188079614898
GSM1833290,0.694224157384139
GSM1833291,0.770383964961571
GSM1833292,0.326371968437661
GSM1833294,0.21802510837729
GSM1833295,0.793634283489012
GSM1833296,0.960007900538882
GSM1833297,0.344785284224207
GSM1833298,0.689253474164946
GSM1833300,1.0854457819846
GSM1833302,0.811215850818025
GSM1833304,0.999275086130099
GSM1833307,0.117082726911433
GSM1833309,0.129344970497411
GSM1833312,0.244485331194136
GSM1833314,0.495066577352558
GSM1833316,0.167719879237359
GSM1833318,0.0386070174681113
GSM1833321,0.558658778581462
GSM1833323,0.261200208698786
GSM1833324,0.128032942305164
GSM1833325,0.571845956076286
GSM1833326,0.0845824892169194
GSM1833327,0.0143465529422545
GSM1833328,0.345864888689958
GSM1833329,0.594927813505565
GSM1833330,0.451816139864897
GSM1833331,0.561063477058175
GSM1833332,0.456528782349745
GSM1833333,0.346014651438348
GSM1833334,0.305108343518247
GSM3928346,1.07906968009076
GSM3928347,0.779675530580216
GSM3928348,0.94169030944337
GSM3928349,1.12851882573746
GSM3928350,0.791248122183484
GSM3928351,1.12926961642465
GSM3928352,0.950424743524816
GSM3928353,0.750152657619825
GSM3928354,0.956386752329606
GSM3928355,1.17393854583543
GSM3928356,1.2507500791668
GSM3928357,1.05533266566621
GSM3928358,1.32713764891017
GSM3928359,1.14406688488549
GSM3928372,1.23038015578199
GSM3928373,0.870668971863208
GSM3928374,1.19246875184703
GSM3928375,1.3614936156281
GSM3928376,1.18464097073409
GSM3928377,0.926378172536596
GSM3928378,1.15816161836927
GSM3928379,0.966025165007717
GSM3928380,0.629890205508624
GSM3928393,1.34350137369967
GSM3928394,1.3784651341031
GSM3928395,1.46068188256536
GSM3928396,1.10622790718463
GSM3928397,0.957804254670613
GSM3928398,1.09980073751627
GSM3928399,1.15942143170038
GSM3928400,1.1956649744704
GSM3928401,1.13858213568669
GSM3928402,1.20549004181525
GSM3928403,1.1959362477476
GSM3928404,1.07493541988554
GSM3928405,0.966162584183133
GSM3928406,1.18875322079624
GSM3928407,0.862949859183218
GSM3928408,0.917552365199138
GSM3928409,1.00019346302429
GSM3928410,0.759569284452157
GSM3928411,0.746602451164306
GSM3928475,1.12408988514961
GSM3928476,0.997157802278258
GSM3928487,1.33605909734229
GSM3928488,0.776108193234307
GSM3928489,1.34173979536027
GSM3928490,1.39447587001791
GSM3928497,1.08734209381878
GSM3928498,0.977492621385061
GSM3928499,1.02851910053041
GSM3928500,1.27321794879739
GSM3928501,1.15047348870269
GSM3928502,1.06670555430809
GSM3928503,1.08751214064836
GSM3928504,1.17077628019328
GSM3928566,1.04872964738727
GSM3928567,1.065548337648
GSM3928580,1.13819860634224
GSM3928581,1.04404838264005
GSM3928582,1.23558542084516
GSM3928583,1.3718499572303
GSM3928591,1.02989715495576
GSM3928592,1.19111736814707
GSM3928593,0.991578134956331
GSM3928594,1.31935616614097
GSM3928595,1.10868105214349
GSM3928596,1.17240271694632
GSM3928597,1.19076859643684
GSM3928360,0.806209084384909
GSM3928361,0.927286096651752
GSM3928362,1.69404295432028
GSM3928363,2.35624897238499
GSM3928364,2.24888005500325
GSM3928365,1.92203147056713
GSM3928366,0.911618941563551
GSM3928367,0.937824181346666
GSM3928368,0.763977598301256
GSM3928369,0.840854281928729
GSM3928370,0.832310064837935
GSM3928371,0.755149262229074
GSM3928381,0.829013284416611
GSM3928382,0.856591697445852
GSM3928383,0.887094834589416
GSM3928384,0.878917844228401
GSM3928385,0.891426026482562
GSM3928386,0.900803506847736
GSM3928387,0.850330092545885
GSM3928388,0.885135209003098
GSM3928389,0.89215716608971
GSM3928390,0.529406198839659
GSM3928391,0.852109611175361
GSM3928392,0.860461400648269
GSM3928412,0.829346035397839
GSM3928413,0.868975405599771
GSM3928414,0.860723736228499
GSM3928415,0.866736488315061
GSM3928416,0.814089818882642
GSM3928417,0.814689679077987
GSM3928418,0.854857269762048
GSM3928419,0.835490854273672
GSM3928420,0.696513782552181
GSM3928421,0.707821000422995
GSM3928422,0.54998598699579
GSM3928423,0.699303003701369
GSM3928424,0.711108351524657
GSM3928425,0.66292102646374
GSM3928426,0.708189107357166
GSM3928427,0.751210679385473
GSM3928428,0.875035569978086
GSM3928429,0.885010411526661
GSM3928430,0.84848249794474
GSM3928431,0.924420905337749
GSM3928432,0.866811446039727
GSM3928433,0.916738156941578
GSM3928434,0.784898933820959
GSM3928435,0.81291047190565
GSM3928436,0.895803063242896
GSM3928437,0.631067021941277
GSM3928438,0.736150239920088
GSM3928439,0.805792346071015
GSM3928440,0.800292913954549
GSM3928441,0.325046163934323
GSM3928442,0.742343889602754
GSM3928443,0.730618117370609
GSM3928444,0.333065812572811
GSM3928445,0.797767774399355
GSM3928446,0.4853653151139
GSM3928447,0.841024803181257
GSM3928448,0.620661514760074
GSM3928449,0.902860701706231
GSM3928450,0.851870584875715
GSM3928451,0.8398835580499
GSM3928452,0.888760664163116
GSM3928453,0.785296451619919
GSM3928454,0.56588451521422
GSM3928455,0.647212937051214
GSM3928456,0.515122728060478
GSM3928457,0.617917007074634
GSM3928458,0.71190758265396
GSM3928459,0.637460378124174
GSM3928460,0.706439893251098
GSM3928461,0.6943170352016
