gse,gsm,stage,is.normal,disease,treatment,maternal.age,developmental.day,cell.line,srr.count,srr.mean.avgspotlen,srr.total.bytes,srr.total.bases,srr.total.avgreadcount
GSE133854,GSM3928523,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2433188548,6157255500,20524185
GSE133854,GSM3928524,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2471186050,6192468600,20641562
GSE133854,GSM3928525,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2480922031,6190144800,20633816
GSE133854,GSM3928526,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2417398879,6024482100,20081607
GSE133854,GSM3928527,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2447194832,6131820900,20439403
GSE133854,GSM3928528,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2435169072,5791635000,19305450
GSE133854,GSM3928529,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2422254255,6173316300,20577721
GSE133854,GSM3928530,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2456543598,6087334200,20291114
GSE133854,GSM3928531,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2397446618,6124262400,20414208
GSE133854,GSM3928532,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2357742815,6130877700,20436259
GSE133854,GSM3928533,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2417317790,6196495800,20654986
GSE133854,GSM3928534,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2363721952,6027847800,20092826
GSE133854,GSM3928535,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2362815216,6086703000,20289010
GSE133854,GSM3928536,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2438630011,6204700800,20682336
GSE133854,GSM3928537,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2190334756,5536139700,18453799
GSE133854,GSM3928538,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2461174051,6190808400,20636028
GSE133854,GSM3928539,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2365203299,6071204100,20237347
GSE133854,GSM3928540,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2404361526,6158025000,20526750
GSE133854,GSM3928541,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2323289878,6051968700,20173229
GSE133854,GSM3928542,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2342664896,6153382800,20511276
GSE133854,GSM3928543,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2406595752,6163080600,20543602
GSE133854,GSM3928544,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2344142306,6027435900,20091453
GSE133854,GSM3928545,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2386649275,6148588800,20495296
GSE133854,GSM3928546,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2130917418,5383797900,17945993
GSE133854,GSM3928547,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2342708378,6063852300,20212841
GSE133854,GSM3928548,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2343568520,6077776800,20259256
GSE133854,GSM3928549,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2388485442,6127263000,20424210
GSE133854,GSM3928550,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2370897753,6149952900,20499843
GSE133854,GSM3928551,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2392280046,6139087800,20463626
GSE133854,GSM3928552,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2428919878,6172228500,20574095
GSE133854,GSM3928553,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2377214005,6069306000,20231020
GSE133854,GSM3928554,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2316164545,5692192800,18973976
GSE133854,GSM3928555,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2434491258,6195549300,20651831
GSE133854,GSM3928556,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2376473306,6116830800,20389436
GSE133854,GSM3928557,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2358995657,6125445900,20418153
GSE133854,GSM3928558,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,1812505403,4646867100,15489557
GSE133854,GSM3928559,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2334389626,6025645800,20085486
GSE133854,GSM3928560,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2353451411,6126510000,20421700
GSE133854,GSM3928561,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2410756829,6145203300,20484011
GSE133854,GSM3928562,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2368684885,6063287700,20210959
GSE133854,GSM3928563,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2582482984,6197870700,20659569
GSE133854,GSM3928564,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2390325293,6102348300,20341161
GSE133854,GSM3928565,morula,FALSE,androgenetic,,24~35 with mean 28,,,1,300,2439528714,6181672800,20605576
GSE133854,GSM3928566,zygote,FALSE,parthenogenetic,,24~35 with mean 28,,,1,180,5738204868,7326643140,40703573
GSE133854,GSM3928567,zygote,FALSE,parthenogenetic,,24~35 with mean 28,,,1,180,5526933665,7176393000,39868850
GSE133854,GSM3928568,zygote,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2480767128,6113363100,20377877
GSE133854,GSM3928569,zygote,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2356507863,5861049600,19536832
GSE133854,GSM3928570,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,10048402949,24006063900,80020213
GSE133854,GSM3928571,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,8516338235,19696730400,65655768
GSE133854,GSM3928572,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,11233969889,27075369900,90251233
GSE133854,GSM3928573,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,13589949504,33704141100,112347137
GSE133854,GSM3928574,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2411250579,6023751300,20079171
GSE133854,GSM3928575,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2521755405,6140221800,20467406
GSE133854,GSM3928576,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2366974070,5913832200,19712774
GSE133854,GSM3928577,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2270581526,5229194700,17430649
GSE133854,GSM3928578,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2471792344,6083399400,20277998
GSE133854,GSM3928579,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2570272028,6172295400,20574318
GSE133854,GSM3928580,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,180,5718913359,7374547980,40969711
GSE133854,GSM3928581,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,180,5089944864,6688016280,37155646
GSE133854,GSM3928582,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,180,6280530294,8127386280,45152146
GSE133854,GSM3928583,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,180,6642443228,8554682520,47526014
GSE133854,GSM3928584,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2417904422,6078040800,20260136
GSE133854,GSM3928585,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2299811459,5769036000,19230120
GSE133854,GSM3928586,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2447594796,6131088600,20436962
GSE133854,GSM3928587,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2538099398,6167705700,20559019
GSE133854,GSM3928588,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2422475304,6061270500,20204235
GSE133854,GSM3928589,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2424749518,6080623800,20268746
GSE133854,GSM3928590,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2407071314,6090333300,20301111
GSE133854,GSM3928591,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,180,5250281028,6676766280,37093146
GSE133854,GSM3928592,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,180,6575307589,8442458460,46902547
