gse,gsm,stage,is.normal,disease,treatment,maternal.age,developmental.day,cell.line,srr.count,srr.mean.avgspotlen,srr.total.bytes,srr.total.bases,srr.total.avgreadcount
GSE136447,GSM4050226,CTB,TRUE,,,,embryo invitro day 7,,1,299,1874848345,5088791978,17019371.1638796
GSE136447,GSM4050227,CTB,TRUE,,,,embryo invitro day 7,,1,299,1752908221,4711617908,15757919.4247492
GSE136447,GSM4050228,CTB,TRUE,,,,embryo invitro day 7,,1,299,1720423760,4741337172,15857314.9565217
GSE136447,GSM4050229,hypoblast,TRUE,,,,embryo invitro day 7,,1,299,1820529502,4034179700,13492239.7993311
GSE136447,GSM4050231,CTB,TRUE,,,,embryo invitro day 7,,1,299,1755632339,4773863705,15966099.3478261
GSE136447,GSM4050232,CTB,TRUE,,,,embryo invitro day 7,,1,299,1802317898,4937679458,16513978.1204013
GSE136447,GSM4050233,CTB,TRUE,,,,embryo invitro day 7,,1,298,1659908012,4472989698,15010032.5436242
GSE136447,GSM4050234,hypoblast,TRUE,,,,embryo invitro day 7,,1,299,1714044878,4716188832,15773206.7959866
GSE136447,GSM4050235,hypoblast,TRUE,,,,embryo invitro day 7,,1,299,1836329142,5092521071,17031843.0468227
GSE136447,GSM4050236,epiblast,TRUE,,,,embryo invitro day 7,,1,299,1856699627,4408889969,14745451.4013378
GSE136447,GSM4050237,epiblast,TRUE,,,,embryo invitro day 7,,1,299,1791319210,4232771642,14156426.8963211
GSE136447,GSM4050238,epiblast,TRUE,,,,embryo invitro day 7,,1,299,1804582890,4195369527,14031336.2107023
GSE136447,GSM4050239,ICM,TRUE,,,,embryo invitro day 7,,1,298,1504507424,3727368976,12507949.5838926
GSE136447,GSM4050240,epiblast,TRUE,,,,embryo invitro day 7,,1,299,1629952497,4159561706,13911577.6120401
GSE136447,GSM4050241,epiblast,TRUE,,,,embryo invitro day 7,,1,299,1600755603,4076080854,13632377.4381271
GSE136447,GSM4050242,epiblast,TRUE,,,,embryo invitro day 7,,1,299,1511660310,3836753359,12831951.0334448
GSE136447,GSM4050243,ICM,TRUE,,,,embryo invitro day 7,,1,299,1621088065,4113597463,13757851.0468227
GSE136447,GSM4050244,epiblast,TRUE,,,,embryo invitro day 7,,1,299,1652560393,4179957334,13979790.4147157
GSE136447,GSM4050245,epiblast,TRUE,,,,embryo invitro day 7,,1,299,1617893310,4084248679,13659694.5785953
GSE136447,GSM4050246,epiblast,TRUE,,,,embryo invitro day 7,,1,299,1607033939,4080751665,13647998.8795987
GSE136447,GSM4050247,epiblast,TRUE,,,,embryo invitro day 7,,1,299,1980915332,5026494057,16811016.9130435
GSE136447,GSM4050248,epiblast,TRUE,,,,embryo invitro day 7,,1,299,1632631485,4114632478,13761312.6354515
GSE136447,GSM4050249,epiblast,TRUE,,,,embryo invitro day 7,,1,299,2337016146,6123408268,20479626.3143813
GSE136447,GSM4050250,CTB,TRUE,,,,embryo invitro day 8,,1,299,2616911380,6774205462,22656205.5585284
GSE136447,GSM4050251,hypoblast,TRUE,,,,embryo invitro day 8,,1,299,2906661079,7546895475,25240453.0936455
GSE136447,GSM4050252,CTB,TRUE,,,,embryo invitro day 8,,1,299,3181913494,8278953430,27688807.458194
GSE136447,GSM4050253,CTB,TRUE,,,,embryo invitro day 8,,1,299,2122305808,5495989006,18381234.1337793
GSE136447,GSM4050254,epiblast,TRUE,,,,embryo invitro day 8,,1,299,2096884025,5457294615,18251821.4548495
GSE136447,GSM4050256,CTB,TRUE,,,,embryo invitro day 8,,1,299,2056115678,5376936222,17983064.2876254
GSE136447,GSM4050257,CTB,TRUE,,,,embryo invitro day 8,,1,299,2708156041,7134570638,23861440.2608696
GSE136447,GSM4050258,CTB,TRUE,,,,embryo invitro day 8,,1,299,2614191135,6839820651,22875654.3511706
GSE136447,GSM4050259,CTB,TRUE,,,,embryo invitro day 8,,1,299,2780368424,7286161699,24368433.7759197
GSE136447,GSM4050260,CTB,TRUE,,,,embryo invitro day 8,,1,299,3192147471,8322941323,27835924.1571906
GSE136447,GSM4050261,STB,TRUE,,,,embryo invitro day 8,,1,299,1921998311,4676588709,15640764.9130435
GSE136447,GSM4050262,CTB,TRUE,,,,embryo invitro day 8,,1,299,1994036565,4829798980,16153173.8461538
GSE136447,GSM4050263,CTB,TRUE,,,,embryo invitro day 8,,1,299,2087938540,4991329909,16693411.0668896
GSE136447,GSM4050264,STB,TRUE,,,,embryo invitro day 8,,1,299,2018008754,4806729392,16076018.0334448
GSE136447,GSM4050265,CTB,TRUE,,,,embryo invitro day 8,,1,299,1937059435,4661180197,15589231.4280936
GSE136447,GSM4050267,CTB,TRUE,,,,embryo invitro day 8,,1,299,1743417432,4303765824,14393865.632107
GSE136447,GSM4050268,epiblast,TRUE,,,,embryo invitro day 8,,1,299,2007097147,4947905611,16548179.3010033
GSE136447,GSM4050269,epiblast,TRUE,,,,embryo invitro day 8,,1,299,1622272876,3870682274,12945425.6655518
GSE136447,GSM4050270,CTB,TRUE,,,,embryo invitro day 8,,1,299,1981763783,4890511605,16356226.1036789
GSE136447,GSM4050271,CTB,TRUE,,,,embryo invitro day 8,,1,299,1876688937,4784680526,16002276.006689
GSE136447,GSM4050272,epiblast,TRUE,,,,embryo invitro day 8,,1,299,1652105708,4143185916,13856809.083612
GSE136447,GSM4050273,STB,TRUE,,,,embryo invitro day 8,,1,299,2084306668,4984825805,16671658.2107023
GSE136447,GSM4050274,CTB,TRUE,,,,embryo invitro day 8,,1,299,1911763032,4577018795,15307755.1672241
GSE136447,GSM4050275,STB,TRUE,,,,embryo invitro day 8,,1,299,1980078842,4676437856,15640260.3879599
GSE136447,GSM4050276,epiblast,TRUE,,,,embryo invitro day 8,,1,299,1585564070,3803872464,12721981.4849498
GSE136447,GSM4050277,CTB,TRUE,,,,embryo invitro day 8,,1,299,1963252613,4696232629,15706463.6421405
GSE136447,GSM4050278,epiblast,TRUE,,,,embryo invitro day 8,,1,299,1961485139,4702563681,15727637.729097
GSE136447,GSM4050279,STB,TRUE,,,,embryo invitro day 8,,1,299,2020612962,4921034212,16458308.4013378
GSE136447,GSM4050280,CTB,TRUE,,,,embryo invitro day 8,,1,299,1971905089,4724313875,15800380.8528428
GSE136447,GSM4050281,epiblast,TRUE,,,,embryo invitro day 8,,1,299,1959723458,4728601696,15814721.3913043
GSE136447,GSM4050282,epiblast,TRUE,,,,embryo invitro day 8,,1,299,2026168552,4869435265,16285736.6722408
GSE136447,GSM4050283,CTB,TRUE,,,,embryo invitro day 8,,1,299,2045091589,4927649004,16480431.451505
GSE136447,GSM4050284,CTB,TRUE,,,,embryo invitro day 8,,1,299,1978877729,4733407083,15830792.9197324
GSE136447,GSM4050285,STB,TRUE,,,,embryo invitro day 8,,1,299,1609370913,3921957081,13116913.3143813
GSE136447,GSM4050286,hypoblast,TRUE,,,,embryo invitro day 8,,1,299,1825332545,4418362353,14777131.6153846
GSE136447,GSM4050287,STB,TRUE,,,,embryo invitro day 8,,1,299,1931604162,4634184827,15498945.909699
GSE136447,GSM4050288,STB,TRUE,,,,embryo invitro day 8,,1,299,2103690421,5073447809,16968052.8729097
GSE136447,GSM4050289,CTB,TRUE,,,,embryo invitro day 8,,1,299,1974389377,4778239868,15980735.3444816
GSE136447,GSM4050290,STB,TRUE,,,,embryo invitro day 8,,1,299,2013094736,4852100731,16227761.6421405
GSE136447,GSM4050292,STB,TRUE,,,,embryo invitro day 8,,1,299,2034173852,4903145364,16398479.4782609
GSE136447,GSM4050293,CTB,TRUE,,,,embryo invitro day 8,,1,299,1882058412,4554811869,15233484.5117057
GSE136447,GSM4050294,STB,TRUE,,,,embryo invitro day 8,,1,299,2030776073,4895311422,16372279.0033445
GSE136447,GSM4050295,CTB,TRUE,,,,embryo invitro day 8,,1,299,1824579594,4380115598,14649216.0468227
GSE136447,GSM4050296,STB,TRUE,,,,embryo invitro day 8,,1,299,2083951816,4981715010,16661254.2140468
GSE136447,GSM4050297,CTB,TRUE,,,,embryo invitro day 8,,1,299,1800130324,4869435603,16285737.8026756
GSE136447,GSM4050298,CTB,TRUE,,,,embryo invitro day 8,,1,299,1753782747,4722138519,15793105.4147157
GSE136447,GSM4050299,CTB,TRUE,,,,embryo invitro day 8,,1,299,1738560307,4733484280,15831051.1036789
GSE136447,GSM4050300,CTB,TRUE,,,,embryo invitro day 8,,1,299,1718991845,4669362729,15616597.7558528
GSE136447,GSM4050301,CTB,TRUE,,,,embryo invitro day 8,,1,299,1811247938,4435159423,14833309.1070234
GSE136447,GSM4050302,CTB,TRUE,,,,embryo invitro day 8,,1,299,1608695531,4392740663,14691440.3444816
GSE136447,GSM4050303,CTB,TRUE,,,,embryo invitro day 8,,1,299,2014301293,5032742710,16831915.4180602
GSE136447,GSM4050304,CTB,TRUE,,,,embryo invitro day 8,,1,299,1844325812,4756408834,15907721.8528428
GSE136447,GSM4050305,CTB,TRUE,,,,embryo invitro day 8,,1,299,1842730491,5014784240,16771853.6454849
GSE136447,GSM4050306,CTB,TRUE,,,,embryo invitro day 8,,1,299,1824044234,4882923560,16330848.0267559
GSE136447,GSM4050307,epiblast,TRUE,,,,embryo invitro day 8,,1,299,1913434438,4703199386,15729763.8327759
GSE136447,GSM4050308,CTB,TRUE,,,,embryo invitro day 8,,1,299,1989041014,5056855971,16912561.7759197
GSE136447,GSM4050310,CTB,TRUE,,,,embryo invitro day 9,,1,299,1904033912,4891521150,16359602.5083612
GSE136447,GSM4050311,STB,TRUE,,,,embryo invitro day 9,,1,299,1881254990,4821768312,16126315.4247492
GSE136447,GSM4050312,CTB,TRUE,,,,embryo invitro day 9,,1,299,1955919972,4970954302,16625265.2240803
GSE136447,GSM4050313,STB,TRUE,,,,embryo invitro day 9,,1,299,1808660836,4683255363,15663061.4147157
GSE136447,GSM4050314,STB,TRUE,,,,embryo invitro day 9,,1,299,1880731970,4546128259,15204442.3377926
GSE136447,GSM4050315,epiblast,TRUE,,,,embryo invitro day 9,,1,299,1652603054,4218644507,14109178.9531773
GSE136447,GSM4050316,CTB,TRUE,,,,embryo invitro day 9,,1,299,1954478435,4690895037,15688612.1638796
GSE136447,GSM4050317,CTB,TRUE,,,,embryo invitro day 9,,1,299,1918137372,4983140832,16666022.8494983
GSE136447,GSM4050318,CTB,TRUE,,,,embryo invitro day 9,,1,299,1980337428,5093639803,17035584.6254181
GSE136447,GSM4050319,epiblast,TRUE,,,,embryo invitro day 9,,1,299,1945237960,4954083974,16568842.722408
GSE136447,GSM4050320,CTB,TRUE,,,,embryo invitro day 9,,1,299,1951459277,4731297932,15823738.90301
GSE136447,GSM4050321,CTB,TRUE,,,,embryo invitro day 9,,1,299,2075036249,5014411236,16770606.1404682
GSE136447,GSM4050322,CTB,TRUE,,,,embryo invitro day 9,,1,299,1965075488,4731297114,15823736.1672241
GSE136447,GSM4050323,STB,TRUE,,,,embryo invitro day 9,,1,299,1599412837,4191577380,14018653.4448161
GSE136447,GSM4050324,STB,TRUE,,,,embryo invitro day 9,,1,299,1819743348,4722643943,15794795.7959866
GSE136447,GSM4050325,CTB,TRUE,,,,embryo invitro day 9,,1,299,1712090107,4476676122,14972160.9431438
GSE136447,GSM4050326,CTB,TRUE,,,,embryo invitro day 9,,1,299,1569768879,4012924965,13421153.729097
GSE136447,GSM4050327,CTB,TRUE,,,,embryo invitro day 9,,1,299,1598716523,4127148627,13803172.6655518
GSE136447,GSM4050328,CTB,TRUE,,,,embryo invitro day 9,,1,299,1926413145,4957061896,16578802.3277592
GSE136447,GSM4050329,CTB,TRUE,,,,embryo invitro day 9,,1,299,1809543128,4710634142,15754629.2374582
GSE136447,GSM4050330,CTB,TRUE,,,,embryo invitro day 9,,1,299,1707938984,4466354096,14937639.1170569
GSE136447,GSM4050331,CTB,TRUE,,,,embryo invitro day 9,,1,299,1833407950,4758610161,15915084.1505017
GSE136447,GSM4050332,hypoblast,TRUE,,,,embryo invitro day 9,,1,299,1602864888,4159069931,13909932.8795987
GSE136447,GSM4050334,STB,TRUE,,,,embryo invitro day 9,,1,298,1495911574,3901292230,13091584.6644295
GSE136447,GSM4050335,STB,TRUE,,,,embryo invitro day 9,,1,299,1788560228,4665003945,15602019.8829431
GSE136447,GSM4050336,STB,TRUE,,,,embryo invitro day 9,,1,299,1456422456,3852756256,12885472.4280936
GSE136447,GSM4050337,CTB,TRUE,,,,embryo invitro day 9,,1,299,1808390812,4703133052,15729541.9799331
GSE136447,GSM4050338,CTB,TRUE,,,,embryo invitro day 9,,1,299,1788038949,4721963912,15792521.4448161
GSE136447,GSM4050339,STB,TRUE,,,,embryo invitro day 9,,1,299,1873761341,4773762598,15965761.1973244
GSE136447,GSM4050340,epiblast,TRUE,,,,embryo invitro day 9,,1,299,1855252909,4840660877,16189501.2608696
GSE136447,GSM4050341,STB,TRUE,,,,embryo invitro day 9,,1,299,1836525875,4814959673,16103544.0568562
GSE136447,GSM4050342,CTB,TRUE,,,,embryo invitro day 9,,1,299,1844385118,4719210387,15783312.3311037
GSE136447,GSM4050343,CTB,TRUE,,,,embryo invitro day 9,,1,299,1514457349,3901934545,13049948.3110368
GSE136447,GSM4050344,CTB,TRUE,,,,embryo invitro day 9,,1,299,1865776650,5025086173,16806308.270903
GSE136447,GSM4050345,CTB,TRUE,,,,embryo invitro day 9,,1,299,1847141182,4747421639,15877664.3444816
GSE136447,GSM4050346,CTB,TRUE,,,,embryo invitro day 9,,1,299,1864694853,4830712474,16156229.0100334
GSE136447,GSM4050347,CTB,TRUE,,,,embryo invitro day 9,,1,299,1922902350,4969688185,16621030.7190635
GSE136447,GSM4050348,epiblast,TRUE,,,,embryo invitro day 9,,1,299,1609489231,4344827466,14531195.5384615
GSE136447,GSM4050349,CTB,TRUE,,,,embryo invitro day 9,,1,299,1852386321,4797348569,16044644.0434783
GSE136447,GSM4050350,CTB,TRUE,,,,embryo invitro day 9,,1,299,1934844246,4969578465,16620663.7625418
GSE136447,GSM4050351,CTB,TRUE,,,,embryo invitro day 9,,1,299,1861899633,4979412677,16653554.1036789
GSE136447,GSM4050352,CTB,TRUE,,,,embryo invitro day 9,,1,299,1739170001,4646650671,15540637.6956522
GSE136447,GSM4050354,CTB,TRUE,,,,embryo invitro day 9,,1,299,1830378491,5021083774,16792922.3210702
GSE136447,GSM4050355,epiblast,TRUE,,,,embryo invitro day 9,,1,299,1641108335,4229289463,14144780.812709
GSE136447,GSM4050356,CTB,TRUE,,,,embryo invitro day 9,,1,299,2002676239,5058214437,16917105.1404682
GSE136447,GSM4050357,STB,TRUE,,,,embryo invitro day 9,,1,299,1861636633,4745946167,15872729.6555184
GSE136447,GSM4050358,CTB,TRUE,,,,embryo invitro day 9,,1,299,1851952124,4745337841,15870695.1204013
GSE136447,GSM4050359,epiblast,TRUE,,,,embryo invitro day 9,,1,299,1895498519,4834420749,16168631.2675585
GSE136447,GSM4050360,STB,TRUE,,,,embryo invitro day 9,,1,299,1814764986,4949798642,16554510.5083612
GSE136447,GSM4050362,CTB,TRUE,,,,embryo invitro day 9,,1,299,1796902842,4850420926,16222143.5652174
GSE136447,GSM4050363,CTB,TRUE,,,,embryo invitro day 9,,1,299,1810514760,4975725119,16641221.1337793
GSE136447,GSM4050364,CTB,TRUE,,,,embryo invitro day 9,,1,299,1794366585,4884891027,16337428.1839465
GSE136447,GSM4050365,CTB,TRUE,,,,embryo invitro day 9,,1,299,1725763547,4748231426,15880372.6622074
GSE136447,GSM4050366,CTB,TRUE,,,,embryo invitro day 9,,1,299,1807297955,4977549604,16647323.090301
GSE136447,GSM4050368,hypoblast,TRUE,,,,embryo invitro day 9,,1,299,1873335813,4798541065,16048632.3244147
GSE136447,GSM4050369,ICM,TRUE,,,,embryo invitro day 9,,1,299,1677469381,4320553957,14450013.2341137
GSE136447,GSM4050370,epiblast,TRUE,,,,embryo invitro day 9,,1,299,1861111818,4741807460,15858887.826087
GSE136447,GSM4050371,epiblast,TRUE,,,,embryo invitro day 9,,1,299,1839449108,4938496911,16516712.0769231
GSE136447,GSM4050372,ICM,TRUE,,,,embryo invitro day 9,,1,299,1864698465,5010622647,16757935.2742475
GSE136447,GSM4050373,epiblast,TRUE,,,,embryo invitro day 9,,1,299,1865733191,5002450056,16730602.1939799
GSE136447,GSM4050374,CTB,TRUE,,,,embryo invitro day 9,,1,299,1856167519,4788252769,16014223.3076923
GSE136447,GSM4050375,epiblast,TRUE,,,,embryo invitro day 9,,1,299,1688539613,4365835551,14601456.6923077
GSE136447,GSM4050376,STB,TRUE,,,,embryo invitro day 9,,1,299,1988338440,4799478842,16051768.7023411
GSE136447,GSM4050377,STB,TRUE,,,,embryo invitro day 10,,1,299,1940407971,5057946232,16916208.1337793
GSE136447,GSM4050379,STB,TRUE,,,,embryo invitro day 10,,1,299,1855521051,4744307377,15867248.7525084
GSE136447,GSM4050380,STB,TRUE,,,,embryo invitro day 10,,1,299,1879817389,4846608978,16209394.5752508
GSE136447,GSM4050381,STB,TRUE,,,,embryo invitro day 10,,1,299,1963568822,5035730011,16841906.3913043
GSE136447,GSM4050382,STB,TRUE,,,,embryo invitro day 10,,1,299,1878646923,4865802978,16273588.5551839
GSE136447,GSM4050383,STB,TRUE,,,,embryo invitro day 10,,1,299,1853949794,4786320200,16007759.8662207
GSE136447,GSM4050384,STB,TRUE,,,,embryo invitro day 10,,1,299,1860616496,4875014144,16304395.1304348
GSE136447,GSM4050385,STB,TRUE,,,,embryo invitro day 10,,1,299,1949098415,5057397587,16914373.2006689
GSE136447,GSM4050386,CTB,TRUE,,,,embryo invitro day 10,,1,299,1833778656,4895035056,16371354.7023411
GSE136447,GSM4050387,CTB,TRUE,,,,embryo invitro day 10,,1,299,1907743707,5033044663,16832925.2943144
GSE136447,GSM4050388,CTB,TRUE,,,,embryo invitro day 10,,1,299,1712821807,4497788548,15042771.0635452
GSE136447,GSM4050389,STB,TRUE,,,,embryo invitro day 10,,1,299,1912932316,5044136564,16870021.9531773
GSE136447,GSM4050390,CTB,TRUE,,,,embryo invitro day 10,,1,299,1615903117,4255695342,14233094.7892977
GSE136447,GSM4050391,epiblast,TRUE,,,,embryo invitro day 10,,1,299,1846330433,4857733296,16246599.6521739
GSE136447,GSM4050392,epiblast,TRUE,,,,embryo invitro day 10,,1,299,1931427383,5031320801,16827159.8695652
GSE136447,GSM4050393,STB,TRUE,,,,embryo invitro day 10,,1,299,1716527749,4470197928,14950494.7424749
GSE136447,GSM4050394,epiblast,TRUE,,,,embryo invitro day 10,,1,299,1875530077,4853112244,16231144.6287625
GSE136447,GSM4050395,epiblast,TRUE,,,,embryo invitro day 10,,1,299,1797907345,4633427670,15496413.6120401
GSE136447,GSM4050396,epiblast,TRUE,,,,embryo invitro day 10,,1,299,1971023042,5055826284,16909118.006689
GSE136447,GSM4050397,CTB,TRUE,,,,embryo invitro day 10,,1,299,1660895448,4352725838,14557611.4983278
GSE136447,GSM4050398,epiblast,TRUE,,,,embryo invitro day 10,,1,299,1902077575,4913268520,16432336.187291
GSE136447,GSM4050399,STB,TRUE,,,,embryo invitro day 10,,1,299,1985795069,4749776607,15885540.4916388
GSE136447,GSM4050400,epiblast,TRUE,,,,embryo invitro day 10,,1,299,1749335475,4555322907,15235193.6688963
GSE136447,GSM4050401,CTB,TRUE,,,,embryo invitro day 10,,1,299,1768002762,4526418356,15138522.9297659
GSE136447,GSM4050402,CTB,TRUE,,,,embryo invitro day 10,,1,299,1720581118,4543354610,15195165.9197324
GSE136447,GSM4050403,STB,TRUE,,,,embryo invitro day 10,,1,299,1930498345,5010451485,16757362.826087
GSE136447,GSM4050404,CTB,TRUE,,,,embryo invitro day 10,,1,299,1848514217,4734493834,15834427.5384615
GSE136447,GSM4050405,STB,TRUE,,,,embryo invitro day 10,,1,299,1919606844,4967525547,16613797.8160535
GSE136447,GSM4050406,STB,TRUE,,,,embryo invitro day 10,,1,299,1929662653,4964480773,16603614.6254181
GSE136447,GSM4050407,STB,TRUE,,,,embryo invitro day 10,,1,299,1935735592,5014868108,16772134.1404682
GSE136447,GSM4050408,epiblast,TRUE,,,,embryo invitro day 10,,1,299,1871226093,4733947772,15832601.2441472
GSE136447,GSM4050409,CTB,TRUE,,,,embryo invitro day 10,,1,299,1876689990,4822456383,16128616.6655518
GSE136447,GSM4050410,CTB,TRUE,,,,embryo invitro day 10,,1,299,1911291621,4936844423,16511185.361204
GSE136447,GSM4050411,hypoblast,TRUE,,,,embryo invitro day 10,,1,299,1886527233,4901033597,16391416.7123746
GSE136447,GSM4050412,STB,TRUE,,,,embryo invitro day 10,,1,299,1947802063,5077048262,16980094.5217391
GSE136447,GSM4050413,epiblast,TRUE,,,,embryo invitro day 10,,1,299,1956507903,5040016282,16856241.7458194
GSE136447,GSM4050414,epiblast,TRUE,,,,embryo invitro day 10,,1,299,1911523027,4896242779,16375393.909699
GSE136447,GSM4050415,CTB,TRUE,,,,embryo invitro day 10,,1,299,1624593355,4165393136,13931080.722408
GSE136447,GSM4050416,CTB,TRUE,,,,embryo invitro day 10,,1,299,1686870859,4345145889,14532260.4983278
GSE136447,GSM4050417,STB,TRUE,,,,embryo invitro day 10,,1,299,1631683257,4202422590,14054925.0501672
GSE136447,GSM4050418,CTB,TRUE,,,,embryo invitro day 10,,1,299,1842250048,4751487938,15891264.006689
GSE136447,GSM4050420,STB,TRUE,,,,embryo invitro day 10,,1,299,1698485667,4402283455,14723356.0367893
GSE136447,GSM4050421,CTB,TRUE,,,,embryo invitro day 10,,1,299,1616389112,4183844285,13992790.2508361
GSE136447,GSM4050422,STB,TRUE,,,,embryo invitro day 10,,1,299,1652811071,4274996937,14297648.6187291
GSE136447,GSM4050423,CTB,TRUE,,,,embryo invitro day 10,,1,299,1617618748,4218898832,14110029.5384615
GSE136447,GSM4050424,STB,TRUE,,,,embryo invitro day 10,,1,299,1561761639,4031759177,13484144.4046823
GSE136447,GSM4050425,STB,TRUE,,,,embryo invitro day 10,,1,299,1692536839,4322895579,14457844.7458194
GSE136447,GSM4050427,CTB,TRUE,,,,embryo invitro day 10,,1,299,1909183754,4892769535,16363777.7090301
GSE136447,GSM4050428,CTB,TRUE,,,,embryo invitro day 10,,1,299,1709365157,4387910690,14675286.5886288
GSE136447,GSM4050429,CTB,TRUE,,,,embryo invitro day 10,,1,299,1655717281,4276597703,14303002.3511706
GSE136447,GSM4050430,CTB,TRUE,,,,embryo invitro day 10,,1,299,1611355856,4212723155,14089375.1003345
GSE136447,GSM4050431,CTB,TRUE,,,,embryo invitro day 10,,1,299,1953855175,4910143065,16421883.1605351
GSE136447,GSM4050432,STB,TRUE,,,,embryo invitro day 10,,1,299,1897309971,4738045001,15846304.3511706
GSE136447,GSM4050433,STB,TRUE,,,,embryo invitro day 10,,1,299,1895549445,4763311159,15930806.5518395
GSE136447,GSM4050434,STB,TRUE,,,,embryo invitro day 10,,1,299,1772221548,4717658076,15778120.6555184
GSE136447,GSM4050435,CTB,TRUE,,,,embryo invitro day 10,,1,299,1938643326,4823562728,16132316.8160535
GSE136447,GSM4050436,CTB,TRUE,,,,embryo invitro day 10,,1,299,1874988472,4727449879,15810869.1605351
GSE136447,GSM4050437,CTB,TRUE,,,,embryo invitro day 10,,1,299,1777625540,4898128950,16381702.173913
GSE136447,GSM4050438,STB,TRUE,,,,embryo invitro day 10,,1,299,1761427688,4802195750,16060855.3511706
GSE136447,GSM4050439,CTB,TRUE,,,,embryo invitro day 10,,1,299,1915710357,4850833598,16223523.7391304
GSE136447,GSM4050440,STB,TRUE,,,,embryo invitro day 10,,1,299,1897690084,4773171348,15963783.7725753
GSE136447,GSM4050441,STB,TRUE,,,,embryo invitro day 10,,1,299,1931332562,4859933997,16253959.8561873
GSE136447,GSM4050442,STB,TRUE,,,,embryo invitro day 10,,1,299,1791186422,4910678183,16423672.8528428
GSE136447,GSM4050443,CTB,TRUE,,,,embryo invitro day 10,,1,299,1610223587,4021180505,13448764.2307692
GSE136447,GSM4050444,STB,TRUE,,,,embryo invitro day 10,,1,299,1771869949,4778590425,15981907.7759197
GSE136447,GSM4050445,CTB,TRUE,,,,embryo invitro day 10,,1,299,1930460514,4867392599,16278905.0133779
GSE136447,GSM4050446,CTB,TRUE,,,,embryo invitro day 10,,1,299,1971970597,4901829991,16394080.2374582
GSE136447,GSM4050447,hypoblast,TRUE,,,,embryo invitro day 10,,1,299,1811673256,4924300015,16469230.819398
GSE136447,GSM4050448,hypoblast,TRUE,,,,embryo invitro day 10,,1,299,1760483264,4736519162,15841201.2107023
GSE136447,GSM4050449,epiblast,TRUE,,,,embryo invitro day 10,,1,299,1935031000,4856097279,16241128.0234114
GSE136447,GSM4050450,epiblast,TRUE,,,,embryo invitro day 10,,1,299,2014828745,5013796203,16768549.173913
GSE136447,GSM4050451,epiblast,TRUE,,,,embryo invitro day 10,,1,299,2025227588,4993009746,16699029.2508361
GSE136447,GSM4050452,epiblast,TRUE,,,,embryo invitro day 10,,1,299,2029428079,5073953961,16969745.6889632
GSE136447,GSM4050453,STB,TRUE,,,,embryo invitro day 10,,1,299,1985537029,4710501857,15754186.812709
GSE136447,GSM4050454,STB,TRUE,,,,embryo invitro day 12,,1,299,2055597425,4961967526,16595209.1170569
GSE136447,GSM4050455,STB,TRUE,,,,embryo invitro day 12,,1,299,1923548828,4789614929,16018779.0267559
GSE136447,GSM4050456,STB,TRUE,,,,embryo invitro day 12,,1,299,2007617942,4986250059,16676421.6020067
GSE136447,GSM4050457,epiblast,TRUE,,,,embryo invitro day 12,,1,299,2186191789,5017807881,16781966.1571906
GSE136447,GSM4050459,STB,TRUE,,,,embryo invitro day 12,,1,299,1759500082,4780189788,15987256.8160535
GSE136447,GSM4050460,hypoblast,TRUE,,,,embryo invitro day 12,,1,299,1849180732,4729828173,15818823.3210702
GSE136447,GSM4050461,STB,TRUE,,,,embryo invitro day 12,,1,297,1460265136,3228773736,10871292.040404
GSE136447,GSM4050462,STB,TRUE,,,,embryo invitro day 12,,1,299,1890224283,4747651648,15878433.6053512
GSE136447,GSM4050463,CTB,TRUE,,,,embryo invitro day 12,,1,299,1653967060,4500332395,15051278.9130435
GSE136447,GSM4050465,STB,TRUE,,,,embryo invitro day 12,,1,299,1879286279,4814075254,16100586.1337793
GSE136447,GSM4050466,STB,TRUE,,,,embryo invitro day 12,,1,299,1732840583,4739992790,15852818.6956522
GSE136447,GSM4050467,STB,TRUE,,,,embryo invitro day 12,,1,299,1770348626,4425097644,14799657.6722408
GSE136447,GSM4050468,STB,TRUE,,,,embryo invitro day 12,,1,299,1987113120,4678179264,15646084.4949833
GSE136447,GSM4050469,epiblast,TRUE,,,,embryo invitro day 12,,1,299,1815277769,4739547134,15851328.2073579
GSE136447,GSM4050470,CTB,TRUE,,,,embryo invitro day 12,,1,299,1538419259,4179145919,13977076.6521739
GSE136447,GSM4050471,CTB,TRUE,,,,embryo invitro day 12,,1,299,1885077609,4741959226,15859395.4046823
GSE136447,GSM4050472,epiblast,TRUE,,,,embryo invitro day 12,,1,299,1809166843,4738244690,15846972.2073579
GSE136447,GSM4050473,STB,TRUE,,,,embryo invitro day 12,,1,299,1862261624,4724511942,15801043.2842809
GSE136447,GSM4050474,epiblast,TRUE,,,,embryo invitro day 12,,1,299,2037601360,4908958276,16417920.6555184
GSE136447,GSM4050475,epiblast,TRUE,,,,embryo invitro day 12,,1,299,1846045313,4799481901,16051778.9331104
GSE136447,GSM4050476,CTB,TRUE,,,,embryo invitro day 12,,1,299,1933729848,4770132472,15953620.3076923
GSE136447,GSM4050477,CTB,TRUE,,,,embryo invitro day 12,,1,299,1834486379,4623014858,15461588.1538462
GSE136447,GSM4050478,CTB,TRUE,,,,embryo invitro day 12,,1,299,1958418116,5030290329,16823713.4749164
GSE136447,GSM4050479,STB,TRUE,,,,embryo invitro day 12,,1,299,1584080990,4348117370,14542198.5618729
