,dataset,name,count.5.prime.UTR,count.3.prime.UTR,count.CDS,count.intron
78,200924-GSE133854-all296-90-90,GSM3928353,7396,159185,4040,365785
79,200924-GSE133854-all296-90-90,GSM3928354,6678,129698,3814,348314
80,200924-GSE133854-all296-90-90,GSM3928355,2452,70559,1472,137193
81,200924-GSE133854-all296-90-90,GSM3928356,4095,112053,2712,266162
82,200924-GSE133854-all296-90-90,GSM3928357,2542,49961,1026,108695
83,200924-GSE133854-all296-90-90,GSM3928358,9195,186701,5573,526486
84,200924-GSE133854-all296-90-90,GSM3928359,3493,85705,2198,166479
85,200924-GSE133854-all296-90-90,GSM3928372,5754,102779,2824,312926
86,200924-GSE133854-all296-90-90,GSM3928373,1446,34198,658,123884
87,200924-GSE133854-all296-90-90,GSM3928374,1532,41833,812,153512
88,200924-GSE133854-all296-90-90,GSM3928375,7503,132913,3732,526186
89,200924-GSE133854-all296-90-90,GSM3928376,5181,98145,2230,318992
90,200924-GSE133854-all296-90-90,GSM3928377,3918,76294,1987,290053
91,200924-GSE133854-all296-90-90,GSM3928378,3093,62582,1563,274398
92,200924-GSE133854-all296-90-90,GSM3928379,2171,46964,1072,137546
93,200924-GSE133854-all296-90-90,GSM3928380,3423,59457,1475,198863
94,200924-GSE133854-all296-90-90,GSM3928393,9360,138024,3934,1081002
95,200924-GSE133854-all296-90-90,GSM3928394,5981,113209,2893,484928
96,200924-GSE133854-all296-90-90,GSM3928395,7663,134695,3465,851774
97,200924-GSE133854-all296-90-90,GSM3928396,7516,133057,3513,705429
98,200924-GSE133854-all296-90-90,GSM3928397,4008,78689,2051,292069
99,200924-GSE133854-all296-90-90,GSM3928398,3283,70343,1749,237672
100,200924-GSE133854-all296-90-90,GSM3928399,4661,79052,2187,417361
101,200924-GSE133854-all296-90-90,GSM3928400,3483,52795,1954,244331
102,200924-GSE133854-all296-90-90,GSM3928401,4120,51997,1847,267651
103,200924-GSE133854-all296-90-90,GSM3928402,5049,84071,2541,336052
104,200924-GSE133854-all296-90-90,GSM3928403,3330,59409,1943,259629
105,200924-GSE133854-all296-90-90,GSM3928404,4216,68317,2234,332864
106,200924-GSE133854-all296-90-90,GSM3928405,5545,85987,2787,452021
107,200924-GSE133854-all296-90-90,GSM3928406,4398,66192,2156,402983
108,200924-GSE133854-all296-90-90,GSM3928407,3629,65786,1899,312264
109,200924-GSE133854-all296-90-90,GSM3928408,6551,89284,2942,529178
110,200924-GSE133854-all296-90-90,GSM3928409,6311,79718,2420,498901
111,200924-GSE133854-all296-90-90,GSM3928410,5268,80547,2653,429816
